0x212927,0x242C2A,0x0D121A,"!","Loading...",0,0
0x09389B,0x415778,0x491B28,"Adrastos","16.5m, 25.5m, 35m, 45m, ^50m, *55.5m, 66.5m, 78m, 90m, 103m, 116m, 129m, 143m, 158m, 173m, 188m, 204m, 221m, 238m, 255m, 273m, 292m, 311m, 330m, 350m, 1b",0,0
0x7C94B5,0x7186AB,0x2E2829,"Adrastos","16.5m, 25.5m, 35m, 45m, ^50m, *55.5m, 66.5m, 78m, 90m, 103m, 116m, 129m, 143m, 158m, 173m, 188m, 204m, 221m, 238m, 255m, 273m, 292m, 311m, 330m, 350m, 1b",0,0
0x2B405D,0xBCC0C2,0x2B4554,"Adrastos","16.5m, 25.5m, 35m, 45m, ^50m, *55.5m, 66.5m, 78m, 90m, 103m, 116m, 129m, 143m, 158m, 173m, 188m, 204m, 221m, 238m, 255m, 273m, 292m, 311m, 330m, 350m, 1b",0,0
0x0D1317,0x2B2662,0x3B4A62,"Agony","^7m, 9.94m, 25.3m, 57.4m",0,0
0x424853,0x676E76,0x9C3D77,"Agony","^7m, 9.94m, 25.3m, 57.4m",0,0
0x4F3427,0x19355B,0x3B4A62,"Agony","^7m, 9.94m, 25.3m, 57.4m",0,0
0x090906,0x0F094F,0x6CB101,"Al-Azab","^550k, 990k ... 9.9m",0,0
0x694E1B,0x423016,0x4F4745,"Alchemist","^*400m, 500m, 650m, 800m, 1b, 1.25b, 1.5b",0,0
0x664816,0x2B261F,0x503B23,"Alchemist","^*400m, 500m, 650m, 800m, 1b, 1.25b, 1.5b",0,0
0xCC7C2C,0x241E0E,0x231D19,"Alchemist","^*400m, 500m, 650m, 800m, 1b, 1.25b, 1.5b",0,0
0x162A41,0x558ACA,0x3E6299,"Ancients' Engines","1b, ^3.2b, *5b, 10b, 15b, 20b, 25b, 30b, 40b, 50b, 60b, 80b, 100b",0,0
0x123663,0x145ABD,0x0B1155,"Apoc Demon","12m, ^20m, 28m, 36m, *40m, 60m, 80m, 100m, 120m, 140m, 160m, 180m",0,0
0x0929CD,0x7AB5FD,0x0E205E,"Apoc Demon","12m, ^20m, 28m, 36m, *40m, 60m, 80m, 100m, 120m, 140m, 160m, 180m",0,0
0x154CD4,0x19B1FB,0x06337B,"Apoc Demon","12m, ^20m, 28m, 36m, *40m, 60m, 80m, 100m, 120m, 140m, 160m, 180m",0,0
0x0E15A9,0x0C0F0E,0x030C0D,"Arachna","^440k, 616k ... 7.48m",0,0
0x0E16A7,0x0C0F0E,0x030C0D,"Arachna","^440k, 616k ... 7.48m",0,0
0x0A1C3C,0x404E57,0x5F7B9B,"Ascendant's Echo","^*3b, 5b, 7.5b, 10b, 15b, 18b",0,0
0xC3C6AD,0x8FA192,0x263438,"Ataxes","^200k, 480k, 1m, 1.4m",0,0
0x2D2D24,0x2E3D3D,0x091115,"Ataxes","^200k, 480k, 1m, 1.4m",0,0
0xC4C7AE,0x90A293,0x243438,"Ataxes","^200k, 480k, 1m, 1.4m",0,0
0x503926,0x18282C,0x41301D,"Bad Blood","500m, ^534m, 800m, 1b, 1.25b, *1.5b, 2b, 2.5b, 5b",0,0
0x1B283F,0x241D1B,0x1A1213,"Bad Blood","500m, ^534m, 800m, 1b, 1.25b, *1.5b, 2b, 2.5b, 5b",0,0
0x6F481F,0x3F2816,0xA56E3E,"Bad Blood","500m, ^534m, 800m, 1b, 1.25b, *1.5b, 2b, 2.5b, 5b",0,0
0xD76D17,0xE38737,0x1F272C,"Badlands Ambusher","^900m, 1b, *1.25b, 1.5b, 1.75b, 2b, 2.25b, 2.5b, 2.75b, 3b, 4b, 5b, 6b, 8b, 10b, 12.5b, 15b, 20b, 25b, 30b, 35b, 40b, 50b",0,0
0x2B424F,0x423C2C,0x26333A,"Badlands Ambusher","^900m, 1b, *1.25b, 1.5b, 1.75b, 2b, 2.25b, 2.5b, 2.75b, 3b, 4b, 5b, 6b, 8b, 10b, 12.5b, 15b, 20b, 25b, 30b, 35b, 40b, 50b",0,0
0x181E33,0x2C4130,0x242C31,"Badlands Ambusher","^900m, 1b, *1.25b, 1.5b, 1.75b, 2b, 2.25b, 2.5b, 2.75b, 3b, 4b, 5b, 6b, 8b, 10b, 12.5b, 15b, 20b, 25b, 30b, 35b, 40b, 50b",0,0
0x738DA8,0x231B30,0x5D6477,"Bakku","400m, ^440m, *500m, 650m, 800m, 1b, 1.25b, 1.5b, 2b",0,0
0x4E4942,0x2C1C24,0x535967,"Bakku","400m, ^440m, *500m, 650m, 800m, 1b, 1.25b, 1.5b, 2b",0,0
0x040F1C,0x2F2933,0x8C757B,"Bakku","400m, ^440m, *500m, 650m, 800m, 1b, 1.25b, 1.5b, 2b",0,0
0x1C1F24,0x30479A,0x2D3958,"Balor","^6b, 8b, *10b, 35b, 50b, 100b, 150b, 200b (note: missing many tiers)",0,0
0x394132,0x1C2227,0x161613,"Banhammer Bros","^4.44m, 7.99m, 13.3m, 19.5m, 28.4m, 57.7m, 79.9m",0,0
